zone	svr_type	svr_ip	svr_port	name	data_type	value	info	section	scope	source	edit_level	default_value	isdefault
zone1	observer	172.17.0.2	2882	syslog_sync_size_threshold	CAPACITY	0M	When the accumulated syslog data reaches this threshold, the system automatically performs disk synchronization.Value 0 disables this function.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0M	1
zone1	observer	172.17.0.2	2882	ob_enable_utl_http	BOOL	False	controls whether UTL_HTTP is enabled	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	False	1
zone1	observer	172.17.0.2	2882	ob_python_home	STRING		specifies the python home path	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE		1
zone1	observer	172.17.0.2	2882	async_ps_cursor_max_count	INT	0	the max count of async ps cursor. The default value is 0. Range: [0, 1024] in integer	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0	1
zone1	observer	172.17.0.2	2882	external_table_disk_cache_max_percentage	INT	50	The maximum ratio of external table disk space to datafile_size in shared-nothing mode, ranges from [0, 95] in integer, with a default of 50	SSTABLE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	50	1
zone1	observer	172.17.0.2	2882	_ob_enable_pl_dynamic_stack_check	BOOL	True	Enable or disable dynamic stack check when executing PL.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	False	0
zone1	observer	172.17.0.2	2882	utl_file_open_max	INT	50	the maximum number of utl files that can be opened simultaneously in a single node under the Oracle model.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	50	1
zone1	observer	172.17.0.2	2882	_use_odps_jni_connector	BOOL	True	Enable or disable jni connector for external odps table	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	False	0
zone1	observer	172.17.0.2	2882	ob_java_connector_path	STRING		specifies the connector path for external table with enabled option: ob_enable_java_env	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE		1
zone1	observer	172.17.0.2	2882	ob_java_opts	STRING		specifies the java opts path for external table with enabled option: ob_enable_java_env	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE		1
zone1	observer	172.17.0.2	2882	ob_java_home	STRING		specifies the java home path for external table with enabled option: ob_enable_java_env	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE		1
zone1	observer	172.17.0.2	2882	ob_enable_java_env	BOOL	False	Enable or disable java env for external table.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	False	1
zone1	observer	172.17.0.2	2882	plugins_load	STRING		The plugins you want to load when starting observer. Note that plugins cannot be loaded dynamically, you should restart the observer when you change the parameter. Format: 'libsoname1.so:on,libsoname2.so:off' which `on'(default) means the plugin is enabled, `off' means the plugin is disabled(don't load), 	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE		1
zone1	observer	172.17.0.2	2882	ob_storage_s3_url_encode_type	STRING	compliantRfc3986Encoding	Determines the URL encoding method for S3 requests."default": Uses the S3 standard URL encoding method."compliantRfc3986Encoding": Uses URL encoding that adheres to the RFC 3986 standard.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	compliantRfc3986Encoding	1
zone1	observer	172.17.0.2	2882	unit_gc_wait_time	TIME	1m	The maximum waiting time for unit gc, The default value is 1min. Range: [0,  30d].	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1m	1
zone1	observer	172.17.0.2	2882	_enable_dbms_job_package	BOOL	False	Control whether can use DBMS_JOB package.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	True	0
zone1	observer	172.17.0.2	2882	enable_ob_error_msg_style	BOOL	True	A switch that determines whether to use the ORA-xx or OBE-xx error code format for ORA error codes, with a default value of True to use the OBE-xx format.The default value is True. Value: False means we use the ORA-xx format, True means we use the OBE-xx format.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	True	1
zone1	observer	172.17.0.2	2882	clog_io_isolation_mode	INT	1	Specifies the I/O isolation mode for Commit Log (clog). Values: 1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation). Example: 1=Off, 2=On	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1	1
zone1	observer	172.17.0.2	2882	io_scheduler_thread_count	INT	4	Range: [1, 16] in integer. This parameter is used to adjust the number of threads in the I/O scheduler. The default value is 4. You can set it within the range of 1 to 16 to control the concurrency level of the I/O scheduler.	OBSERVER	CLUSTER	DEFAULT	STATIC_EFFECTIVE	4	1
zone1	observer	172.17.0.2	2882	strict_check_os_params	BOOL	False	A switch that determines whether to enable strict OS parameter check mode, defaulting to true and can be set to false to bypass strict checks.Value: True: allowed; False: allowed but not suggested	OBSERVER	CLUSTER	DEFAULT	STATIC_EFFECTIVE	False	1
zone1	observer	172.17.0.2	2882	enable_rpc_authentication_bypass	BOOL	True	specifies whether allow OMS service to connect cluster and provide service when rpc authentication is turned on.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	True	1
zone1	observer	172.17.0.2	2882	sql_protocol_min_tls_version	STRING	none	SQL SSL control options, used to specify the minimum SSL/TLS version number. values: none, TLSv1, TLSv1.1, TLSv1.2, TLSv1.3	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	none	1
zone1	observer	172.17.0.2	2882	rpc_server_authentication_method	STRING	ALL	specifies rpc server authentication method. ALL: support all authentication methods. NONE: without authentication. SSL_NO_ENCRYPT: authentication by SSL handshake but not encrypt the communication channel. SSL_IO: authentication by SSL handshake and encrypt the communication channel	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	ALL	1
zone1	observer	172.17.0.2	2882	rpc_client_authentication_method	STRING	NONE	specifies rpc client authentication method. NONE: without authentication. SSL_NO_ENCRYPT: authentication by SSL handshake but not encrypt the communication channel. SSL_IO: authentication by SSL handshake and encrypt the communication channel	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	NONE	1
zone1	observer	172.17.0.2	2882	observer_id	INT	1	the unique id that been assigned by rootservice for each observer in cluster, default: 0 (invalid id), Range: [1, 18446744073709551615]	OBSERVER	CLUSTER	DEFAULT	READONLY	0	0
zone1	observer	172.17.0.2	2882	local_ip	STRING	172.17.0.2	the IP address of the machine on which the ObServer will be installed	OBSERVER	CLUSTER	DEFAULT	READONLY		0
zone1	observer	172.17.0.2	2882	enable_dblink	BOOL	True	Enable or disable dblink	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	True	1
zone1	observer	172.17.0.2	2882	global_background_cpu_quota	DOUBLE	-1	When enable_global_background_resource_isolation is True, specify the number of vCPUs allocated to the background tasks-1 for the CPU is not limited by the cgroup	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	-1	1
zone1	observer	172.17.0.2	2882	enable_global_background_resource_isolation	BOOL	False	When set to false, foreground and background tasks are isolated within the tenant; When set to true, isolate background tasks individually upon tenant-level	OBSERVER	CLUSTER	DEFAULT	STATIC_EFFECTIVE	False	1
zone1	observer	172.17.0.2	2882	enable_cgroup	BOOL	True	when set to false, cgroup will not init; when set to true but cgroup root dir is not ready, print ERROR	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	True	1
zone1	observer	172.17.0.2	2882	sql_net_thread_count	INT	0	the number of global mysql I/O threads. Range: [0, 64] in integer, default value is 0, 0 stands for old value GCONF.net_thread_count	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0	1
zone1	observer	172.17.0.2	2882	sql_login_thread_count	INT	0	the number of threads for sql login request. Range: [0, 32] in integer, 0 stands for use default thread count defined in TG.the default thread count for login request in TG is normal:6 mini-mode:2	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0	1
