zone	svr_type	svr_ip	svr_port	name	data_type	value	info	section	scope	source	edit_level	default_value	isdefault
zone1	observer	172.17.0.2	2882	global_background_cpu_quota	DOUBLE	-1	When enable_global_background_resource_isolation is True, specify the number of vCPUs allocated to the background tasks-1 for the CPU is not limited by the cgroup	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	-1	1
zone1	observer	172.17.0.2	2882	server_balance_cpu_mem_tolerance_percent	INT	5	specifies the tolerance (in percentage) of the unbalance of the cpu/memory utilization among all servers. The average cpu/memory utilization is calculated by dividing the total cpu/memory by the number of servers. server balancer will start a rebalancing task when the deviation between the average usage and some server load is greater than this tolerance Range: [1, 100] in percentage	LOAD_BALANCE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	5	1
zone1	observer	172.17.0.2	2882	workers_per_cpu_quota	INT	10	the ratio(integer) between the number of system allocated workers vs the maximum number of threads that can be scheduled concurrently. Range: [2, 20]	TENANT	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	10	1
zone1	observer	172.17.0.2	2882	location_cache_cpu_quota	DOUBLE	5	the number of vCPUs allocated for the requests regarding location info of the core tables. Range: [0,10] in integer	TENANT	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	5	1
zone1	observer	172.17.0.2	2882	server_cpu_quota_max	DOUBLE	0	the number of maximal vCPUs allocated to the server tenant(a special internal tenant that exists on every observer). 0 stands for adaptive. Range: [0, 16]	TENANT	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0	1
zone1	observer	172.17.0.2	2882	server_cpu_quota_min	DOUBLE	0	the number of minimal vCPUs allocated to the server tenant(a special internal tenant that exists on every observer). 0 stands for adaptive. Range: [0, 16]	TENANT	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0	1
zone1	observer	172.17.0.2	2882	cpu_count	INT	16	the number of CPU\\'s in the system. If this parameter is set to zero, the number will be set according to sysconf; otherwise, this parameter is used. Range: [0,+∞) in integer	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0	0
zone1	observer	172.17.0.2	2882	ss_cache_maxsize_percpu	CAPACITY	128G	the maximum allowed local cache disk size per CPU per server in shared storage mode. Range: (0, +∞)	SSTABLE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	128G	1
zone1	observer	172.17.0.2	2882	px_workers_per_cpu_quota	INT	10	the ratio(integer) between the number of system allocated px workers vs the maximum number of threads that can be scheduled concurrently. Range: [0, 20]	TENANT	TENANT	DEFAULT	DYNAMIC_EFFECTIVE	10	1
zone1	observer	172.17.0.2	2882	cpu_quota_concurrency	DOUBLE	4	max allowed concurrency for 1 CPU quota. Range: [1,20]	TENANT	TENANT	DEFAULT	DYNAMIC_EFFECTIVE	4	1
