zone	svr_type	svr_ip	svr_port	name	data_type	value	info	section	scope	source	edit_level	default_value	isdefault
zone1	observer	172.17.0.2	2882	clog_io_isolation_mode	INT	1	Specifies the I/O isolation mode for Commit Log (clog). Values: 1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation). Example: 1=Off, 2=On	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1	1
zone1	observer	172.17.0.2	2882	io_scheduler_thread_count	INT	4	Range: [1, 16] in integer. This parameter is used to adjust the number of threads in the I/O scheduler. The default value is 4. You can set it within the range of 1 to 16 to control the concurrency level of the I/O scheduler.	OBSERVER	CLUSTER	DEFAULT	STATIC_EFFECTIVE	4	1
zone1	observer	172.17.0.2	2882	enable_rpc_authentication_bypass	BOOL	True	specifies whether allow OMS service to connect cluster and provide service when rpc authentication is turned on.	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	True	1
zone1	observer	172.17.0.2	2882	sql_protocol_min_tls_version	STRING	none	SQL SSL control options, used to specify the minimum SSL/TLS version number. values: none, TLSv1, TLSv1.1, TLSv1.2, TLSv1.3	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	none	1
zone1	observer	172.17.0.2	2882	rpc_server_authentication_method	STRING	ALL	specifies rpc server authentication method. ALL: support all authentication methods. NONE: without authentication. SSL_NO_ENCRYPT: authentication by SSL handshake but not encrypt the communication channel. SSL_IO: authentication by SSL handshake and encrypt the communication channel	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	ALL	1
zone1	observer	172.17.0.2	2882	rpc_client_authentication_method	STRING	NONE	specifies rpc client authentication method. NONE: without authentication. SSL_NO_ENCRYPT: authentication by SSL handshake but not encrypt the communication channel. SSL_IO: authentication by SSL handshake and encrypt the communication channel	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	NONE	1
zone1	observer	172.17.0.2	2882	enable_global_background_resource_isolation	BOOL	False	When set to false, foreground and background tasks are isolated within the tenant; When set to true, isolate background tasks individually upon tenant-level	OBSERVER	CLUSTER	DEFAULT	STATIC_EFFECTIVE	False	1
zone1	observer	172.17.0.2	2882	ob_ratelimit_stat_period	TIME	1s	the time interval to update observer's maximum bandwidth to a certain region. 	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1s	1
zone1	observer	172.17.0.2	2882	_bloom_filter_ratio	INT	3	The px bloom filter false-positive rate. Range: [0,100]	TENANT	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	35	0
zone1	observer	172.17.0.2	2882	ssl_client_authentication	BOOL	False	enable server SSL support. Takes effect after ca/cert/key file is configured correctly. 	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	False	1
zone1	observer	172.17.0.2	2882	sys_bkgd_migration_change_member_list_timeout	TIME	20s	the timeout for migration change member list retry. The default value is 20s. Range: [0s,24h]	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	20s	1
zone1	observer	172.17.0.2	2882	sys_bkgd_migration_retry_num	INT	3	retry num limit during migration. Range: [3, 100] in integer	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	3	1
zone1	observer	172.17.0.2	2882	sync_io_thread_count	INT	0	The number of io threads for synchronizing request on each device. The default value is 0. Range: [0,1024] in integer	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	0	1
zone1	observer	172.17.0.2	2882	disk_io_thread_count	INT	8	The number of io threads on each disk. The default value is 8. Range: [2,32] in even integer	OBSERVER	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	8	1
zone1	observer	172.17.0.2	2882	storage_meta_cache_priority	INT	10	storage meta cache priority. Range:[1, )	CACHE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	10	1
zone1	observer	172.17.0.2	2882	fuse_row_cache_priority	INT	1	fuse row cache priority. Range:[1, )	CACHE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1	1
zone1	observer	172.17.0.2	2882	bf_cache_priority	INT	1	bf cache priority. Range:[1, )	CACHE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1	1
zone1	observer	172.17.0.2	2882	user_row_cache_priority	INT	1	user row cache priority. Range:[1, )	CACHE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1	1
zone1	observer	172.17.0.2	2882	user_block_cache_priority	INT	1	user block cache priority. Range:[1, )	CACHE	CLUSTER	DEFAULT	DYNAMIC_EFFECTIVE	1	1
