experiment_id,parameter_name,category,workload_type,current_value,default_value,value_range,action_type,min_value,max_value,step,enum_values,raw_keyword_score,normalized_keyword_score,category_prior,workload_prior,safety_score,dynamic_effective,tenant_scope,range_known,doc_hint_available,baseline_throughput,baseline_avg_latency_ms,baseline_p95_latency_ms,baseline_p99_latency_ms,impact_score,risk_level,can_modify,evidence,interpretation
real_week4_offline,log_disk_throttling_maximum_duration,磁盘IO,lightweight_sql,2h,2h,UNKNOWN,numeric,1.0,3.0,1.0,,15.0,1.0,0.9,0.58,1.0,1,0,0,1,7.17,139.228,178.12,239.711,0.8544,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_throttling_maximum_duration,磁盘IO,TPC-C,2h,2h,UNKNOWN,numeric,1.0,3.0,1.0,,15.0,1.0,0.9,0.9,1.0,1,0,0,1,1.826,312.3,716.0,726.0,0.912,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_throttling_maximum_duration,磁盘IO,TPC-H,2h,2h,UNKNOWN,numeric,1.0,3.0,1.0,,15.0,1.0,0.9,0.7,1.0,1,0,0,1,6.5269,153.213,192.592,285.852,0.876,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_utilization_limit_threshold,磁盘IO,lightweight_sql,95,95,"[80, 100]",numeric,80.0,100.0,5.0,,15.0,1.0,0.9,0.58,1.0,1,0,1,0,7.17,139.228,178.12,239.711,0.8744,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_utilization_limit_threshold,磁盘IO,TPC-C,95,95,"[80, 100]",numeric,80.0,100.0,5.0,,15.0,1.0,0.9,0.9,1.0,1,0,1,0,1.826,312.3,716.0,726.0,0.932,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_utilization_limit_threshold,磁盘IO,TPC-H,95,95,"[80, 100]",numeric,80.0,100.0,5.0,,15.0,1.0,0.9,0.7,1.0,1,0,1,0,6.5269,153.213,192.592,285.852,0.896,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_utilization_threshold,磁盘IO,lightweight_sql,80,80,"[10, 100)",numeric,10.0,100.0,22.5,,15.0,1.0,0.9,0.58,1.0,1,0,1,0,7.17,139.228,178.12,239.711,0.8744,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_utilization_threshold,磁盘IO,TPC-C,80,80,"[10, 100)",numeric,10.0,100.0,22.5,,15.0,1.0,0.9,0.9,1.0,1,0,1,0,1.826,312.3,716.0,726.0,0.932,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,log_disk_utilization_threshold,磁盘IO,TPC-H,80,80,"[10, 100)",numeric,10.0,100.0,22.5,,15.0,1.0,0.9,0.7,1.0,1,0,1,0,6.5269,153.213,192.592,285.852,0.896,LOW,YES,"命中关键词: io, disk, log",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,enable_clog_encryption,磁盘IO,lightweight_sql,False,False,UNKNOWN,bool,0.0,1.0,1.0,True|False,13.0,0.866667,0.9,0.58,1.0,1,0,0,0,7.17,139.228,178.12,239.711,0.779067,LOW,YES,"命中关键词: io, log, clog",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,enable_clog_encryption,磁盘IO,TPC-C,False,False,UNKNOWN,bool,0.0,1.0,1.0,True|False,13.0,0.866667,0.9,0.9,1.0,1,0,0,0,1.826,312.3,716.0,726.0,0.836667,LOW,YES,"命中关键词: io, log, clog",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,enable_clog_encryption,磁盘IO,TPC-H,False,False,UNKNOWN,bool,0.0,1.0,1.0,True|False,13.0,0.866667,0.9,0.7,1.0,1,0,0,0,6.5269,153.213,192.592,285.852,0.800667,LOW,YES,"命中关键词: io, log, clog",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,__min_full_resource_pool_memory,内存管理,lightweight_sql,2147483648,5368709120,UNKNOWN,numeric,1073741824.0,3221225472.0,536870912.0,,13.0,0.866667,0.84,0.6,0.4464,1,0,0,1,7.17,139.228,178.12,239.711,0.734235,MEDIUM,UNKNOWN,"命中关键词: memory, mem, resource",内存水位、缓存和冻结行为会影响写入路径与大查询中间结果。
real_week4_offline,__min_full_resource_pool_memory,内存管理,TPC-C,2147483648,5368709120,UNKNOWN,numeric,1073741824.0,3221225472.0,536870912.0,,13.0,0.866667,0.84,0.76,0.4464,1,0,0,1,1.826,312.3,716.0,726.0,0.763035,MEDIUM,UNKNOWN,"命中关键词: memory, mem, resource",内存水位、缓存和冻结行为会影响写入路径与大查询中间结果。
real_week4_offline,__min_full_resource_pool_memory,内存管理,TPC-H,2147483648,5368709120,UNKNOWN,numeric,1073741824.0,3221225472.0,536870912.0,,13.0,0.866667,0.84,0.88,0.4464,1,0,0,1,6.5269,153.213,192.592,285.852,0.784635,MEDIUM,UNKNOWN,"命中关键词: memory, mem, resource",内存水位、缓存和冻结行为会影响写入路径与大查询中间结果。
real_week4_offline,clog_io_isolation_mode,磁盘IO,lightweight_sql,1,1,"1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation)",enum,1.0,2.0,1.0,1|2,13.0,0.866667,0.9,0.58,0.4464,1,0,1,0,7.17,139.228,178.12,239.711,0.762635,MEDIUM,UNKNOWN,"命中关键词: io, log, clog",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,clog_io_isolation_mode,磁盘IO,TPC-C,1,1,"1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation)",enum,1.0,2.0,1.0,1|2,13.0,0.866667,0.9,0.9,0.4464,1,0,1,0,1.826,312.3,716.0,726.0,0.820235,MEDIUM,UNKNOWN,"命中关键词: io, log, clog",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
real_week4_offline,clog_io_isolation_mode,磁盘IO,TPC-H,1,1,"1 - Non-isolation mode (disable I/O isolation), 2 - Full isolation mode (enable I/O isolation)",enum,1.0,2.0,1.0,1|2,13.0,0.866667,0.9,0.7,0.4464,1,0,1,0,6.5269,153.213,192.592,285.852,0.784235,MEDIUM,UNKNOWN,"命中关键词: io, log, clog",日志写入、刷盘和 IO 隔离对写事务路径更敏感。
