experiment_id,rank,parameter_name,category,action_type,current_value,min_value,max_value,step,enum_values,risk_level,can_modify,auto_execute_allowed,requires_approval,action_mask_reason
real_week4_offline,1,log_disk_utilization_limit_threshold,磁盘IO,numeric,,80.0,100.0,5.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,2,log_disk_utilization_threshold,磁盘IO,numeric,,10.0,100.0,22.5,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,3,log_disk_throttling_maximum_duration,磁盘IO,numeric,,1.0,3.0,1.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,4,enable_clog_encryption,磁盘IO,bool,,0.0,1.0,1.0,True|False,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,5,log_disk_throttling_percentage,磁盘IO,numeric,,30.0,90.0,15.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,6,standby_db_preferred_upstream_log_region,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,7,clog_io_isolation_mode,磁盘IO,enum,,1.0,2.0,1.0,1|2,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
real_week4_offline,8,vector_index_memory_saving_mode,内存管理,bool,,0.0,1.0,1.0,True|False,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,9,memory_chunk_cache_size,内存管理,numeric,,0.0,1.0,1.0,,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
real_week4_offline,10,syslog_io_bandwidth_limit,磁盘IO,numeric,,15.0,45.0,7.5,,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
real_week4_offline,11,cpu_quota_concurrency,CPU调度,numeric,,1.0,20.0,4.75,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,12,px_workers_per_cpu_quota,CPU调度,numeric,,0.0,20.0,5.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,13,compaction_dag_cnt_limit,磁盘IO,numeric,,10000.0,500000.0,122500.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,14,compaction_high_thread_score,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,15,compaction_low_thread_score,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,16,compaction_mid_thread_score,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,17,compaction_schedule_tablet_batch_cnt,磁盘IO,numeric,,10000.0,500000.0,122500.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,18,dump_data_dictionary_to_log_interval,磁盘IO,numeric,,0.0,1.0,1.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,19,mds_compaction_high_thread_score,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,20,mds_compaction_mid_thread_score,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,21,ob_compaction_schedule_interval,磁盘IO,numeric,,3.0,5.0,1.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,22,__min_full_resource_pool_memory,内存管理,numeric,,1073741824.0,3221225472.0,536870912.0,,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
real_week4_offline,23,audit_log_compression,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,24,load_data_diagnosis_log_compression,磁盘IO,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,25,shared_log_retention,磁盘IO,numeric,,0.5,2.0,1.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,26,log_disk_percentage,磁盘IO,numeric,,0.0,99.0,24.75,,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
real_week4_offline,27,log_archive_concurrency,CPU调度,numeric,,0.0,100.0,25.0,,LOW,YES,1,0,allowed_offline_recommendation_only
real_week4_offline,28,memstore_limit_percentage,内存管理,numeric,,0.0,100.0,25.0,,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
real_week4_offline,29,large_query_worker_percentage,CPU调度,numeric,,0.0,100.0,25.0,,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
real_week4_offline,30,enable_sql_audit,SQL执行,bool,,0.0,1.0,1.0,True|False,MEDIUM,UNKNOWN,0,1,manual_approval_required_due_to_risk_or_unknown_modifiability
